id,retweet_count,favorite_count
892420643555336193,8853,39467
892177421306343426,6514,33819
891815181378084864,4328,25461
891689557279858688,8964,42908
891327558926688256,9774,41048
891087950875897856,3261,20562
890971913173991426,2158,12041
890729181411237888,16716,56848
890609185150312448,4429,28226
890240255349198849,7711,32467
890006608113172480,7624,31166
889880896479866881,5156,28268
889665388333682689,8538,38818
889638837579907072,4735,27672
889531135344209921,2321,15359
889278841981685760,5637,25652
888917238123831296,4709,29611
888804989199671297,4559,26080
888554962724278272,3732,20290
888078434458587136,3653,22201
887705289381826560,5609,30779
887517139158093824,12082,46959
887473957103951883,18781,69871
887343217045368832,10737,34222
887101392804085760,6167,31061
886983233522544640,8084,35859
886736880519319552,3443,12306
886680336477933568,4610,22798
886366144734445568,3316,21524
886267009285017600,4,117
886258384151887873,6523,28469
886054160059072513,108,0
885984800019947520,7097,33382
885528943205470208,6683,36689
885518971528720385,3899,20788
885311592912609280,19297,0
885167619883638784,4556,22367
884925521741709313,16439,68152
884876753390489601,6096,28514
884562892145688576,5100,24765
884441805382717440,5856,27478
884247878851493888,21298,74423
884162670584377345,3128,20771
883838122936631299,3586,22349
883482846933004288,10407,46860
883360690899218434,3825,22986
883117836046086144,6949,37914
882992080364220416,4122,24445
882762694511734784,5134,28903
882627270321602560,6342,28382
882268110199369728,12118,45880
882045870035918850,5203,29900
881906580714921986,3533,24773
881666595344535552,11099,51522
881633300179243008,7,129
881536004380872706,16570,50199
881268444196462592,5358,23501
880935762899988482,2886,17346
880872448815771648,3989,21734
880465832366813184,6546,29075
880221127280381952,4436,27640
880095782870896641,4533,28150
879862464715927552,3642,22667
879674319642796034,10,315
879492040517615616,3323,23822
879415818425184262,45849,107956
879376492567855104,3261,17099
879130579576475649,7181,0
879050749262655488,4941,23022
879008229531029506,2812,19317
878776093423087618,4319,19763
878604707211726852,7582,30931
878404777348136964,1349,0
878316110768087041,6965,0
878281511006478336,1349,7913
878057613040115712,7181,42876
877736472329191424,17300,71144
877611172832227328,83,0
877556246731214848,3994,23258
877316821321428993,5414,27907
877201837425926144,5880,27755
876838120628539392,3506,21125
876537666061221889,4800,23869
876484053909872640,2511,19163
876120275196170240,4903,28490
875747767867523072,4497,25773
875144289856114688,5081,22185
875097192612077568,6342,27997
875021211251597312,4922,26022
874680097055178752,4875,28439
874434818259525634,15546,0
874296783580663808,4308,26651
874057562936811520,4125,23134
874012996292530176,11007,35501
873697596434513921,12518,0
873580283840344065,4143,24837
873337748698140672,1667,0
873213775632977920,1667,7467
872967104147763200,5669,28031
872820683541237760,3884,15029
872668790621863937,31,0
872620804844003328,3911,21309
872486979161796608,9429,41606
872261713294495745,6649,35085
872122724285648897,8549,35324
871879754684805121,11918,39090
871762521631449091,3678,20787
871515927908634625,3628,20730
871166179821445120,5991,0
871102520638267392,5764,21461
871032628920680449,3999,23255
870804317367881728,6393,33791
870726314365509632,3,121
870656317836468226,2817,12819
870374049280663552,27680,85011
870308999962521604,4384,22453
870063196459192321,8840,37771
869988702071779329,25661,0
869772420881756160,10663,43710
869702957897576449,6728,29116
869596645499047938,3327,16476
869227993411051520,4023,21112
868880397819494401,12518,55098
868639477480148993,2240,0
868622495443632128,6275,28295
868552278524837888,2240,10539
867900495410671616,4439,24964
867774946302451713,7788,35179
867421006826221569,2697,16755
867072653475098625,135,0
867051520902168576,8425,33420
866816280283807744,32883,0
866720684873056260,5168,20888
866686824827068416,3727,20070
866450705531457537,32883,106827
866334964761202691,15546,54720
866094527597207552,8952,0
865718153858494464,6008,26640
865359393868664832,5384,27530
865006731092295680,8209,29063
864873206498414592,9361,33651
864279568663928832,3266,15195
864197398364647424,9616,31459
863907417377173506,4441,21477
863553081350529029,4489,15935
863471782782697472,2687,0
863432100342583297,5664,24829
863427515083354112,105,2363
863079547188785154,1195,9094
863062471531167744,2687,8945
862831371563274240,5457,20011
862722525377298433,3809,17779
862457590147678208,5388,21492
862096992088072192,21840,66437
861769973181624320,37911,0
861383897657036800,11528,37744
861288531465048066,4479,18032
861005113778896900,4119,17538
860981674716409858,2334,0
860924035999428608,882,0
860563773140209665,2334,7878
860524505164394496,5698,24678
860276583193509888,3745,19154
860184849394610176,6295,17474
860177593139703809,33421,0
859924526012018688,4349,20021
859851578198683649,3780,16105
859607811541651456,1704,19476
859196978902773760,25661,75193
859074603037188101,14740,35553
858860390427611136,8805,0
858843525470990336,3771,16304
858471635011153920,5271,22640
858107933456039936,3154,16524
857989990357356544,2812,16952
857746408056729600,11524,36021
857393404942143489,1785,6236
857263160327368704,4934,21041
857214891891077121,20,242
857062103051644929,183,0
857029823797047296,4364,19910
856602993587888130,11633,0
856543823941562368,3131,17135
856526610513747968,2068,12446
856330835276025856,731,0
856288084350160898,17,545
856282028240666624,6841,29086
855862651834028034,27,320
855860136149123072,1058,4407
855857698524602368,2313,12498
855851453814013952,19196,47844
855818117272018944,5943,28056
855459453768019968,8987,31657
855245323840757760,6568,0
855138241867124737,50,0
854732716440526848,6690,24188
854482394044301312,7608,31131
854365224396361728,5159,20046
854120357044912130,8285,33911
854010172552949760,3433,17169
853760880890318849,6403,30414
853639147608842240,11265,37198
853299958564483072,3928,16508
852936405516943360,2243,0
852912242202992640,2037,9658
852672615818899456,2388,15939
